#OPEN_EXPORT: 2020.4.14.1354
#Datum vytvoøení souboru: 15.04.2020 13:20
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
B1HODO01;Hodonín;01.01.1961;31.08.1971;17,1317;48,8575;180
B1HODO01;Hodonín;01.09.1971;31.12.1972;17,1358;48,8536;180
B1HODO01;Hodonín;01.01.1973;30.06.1977;17,1206;48,8456;160
B1HODO01;Hodonín;01.07.1977;31.07.1978;17,1208;48,8564;187
B1HODO01;Hodonín;01.11.1978;30.06.1980;17,1419;48,8658;186
B1HODO01;Hodonín;01.05.1981;30.04.1986;17,1403;48,8594;164
B1HODO01;Hodonín;01.09.1986;29.02.1992;17,1444;48,8628;164
B1HODO01;Hodonín;01.08.1992;09.06.2003;17,0972;48,8314;161
B1HODO01;Hodonín;10.06.2003;30.11.2017;17,1456;48,8617;174
B1HODO01;Hodonín;01.12.2017;31.12.2019;17,104872;48,854292;172

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje
Anemoindikátor;01.01.1961;31.07.1978;10
Anemoindikátor;01.11.1978;30.06.1980;10

PRVEK
Prùmìrná denní rychlost vìtru [F.AVG, m/s]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
1961;01;1;1,3;
1961;01;2;1;
1961;01;3;7;
1961;01;4;3;
1961;01;5;2,7;
1961;01;6;6,3;
1961;01;7;5;
1961;01;8;2,7;
1961;01;9;3,3;
1961;01;10;3;
1961;01;11;2;
1961;01;12;4;
1961;01;13;1;
1961;01;14;1;
1961;01;15;,3;
1961;01;16;3,7;
1961;01;17;4,7;
1961;01;18;,7;
1961;01;19;,3;
1961;01;20;0;
1961;01;21;,3;
1961;01;22;3;
1961;01;23;,3;
1961;01;24;1;
1961;01;25;6,3;
1961;01;26;1,7;
1961;01;27;,3;
1961;01;28;3,3;
1961;01;29;3,7;
1961;01;30;4,7;
1961;01;31;2,7;
1961;02;1;2;
1961;02;2;2;
1961;02;3;1,3;
1961;02;4;2;
1961;02;5;,7;
1961;02;6;3,3;
1961;02;7;1;
1961;02;8;2;
1961;02;9;1,3;
1961;02;10;3;
1961;02;11;1;
1961;02;12;2,7;
1961;02;13;1,7;
1961;02;14;,7;
1961;02;15;,7;
1961;02;16;,7;
1961;02;17;,3;
1961;02;18;,7;
1961;02;19;,7;
1961;02;20;,3;
1961;02;21;3,3;
1961;02;22;2;
1961;02;23;3;
1961;02;24;2;
1961;02;25;3,3;
1961;02;26;4,7;
1961;02;27;2,7;
1961;02;28;4,3;
1961;03;1;2;
1961;03;2;1,3;
1961;03;3;,7;
1961;03;4;,7;
1961;03;5;1,3;
1961;03;6;1,3;
1961;03;7;0;
1961;03;8;,3;
