"id";"X";"Y";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"geometry";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres"
"B1BLAT01";17.4611;48.9465;211;"Blatnice";"Blatnice pod svatým Antonínkem";"MSS";"POINT (17.4611 48.9465)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B1BOJK01";17.81;49.0402;310;"Bojkovice";"Bojkovice";"AKS3";"POINT (17.81 49.0402)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;NA;NA
"B1BOJK01";17.81;49.0402;310;"Bojkovice";"Bojkovice";"AKS3";"POINT (17.81 49.0402)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;NA;NA
"B1BUCH01";17.335389;49.089008;257;"Buchlovice";"Buchlovice";"MSS";"POINT (17.335389 49.089008)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B1BYSH01";17.6706;49.3964;314;"Bystrice pod Hostýnem";"Bystrice pod Hostýnem";"AKS2";"POINT (17.6706 49.3964)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B1BZEN01";17.3055;48.9816;182;"Bzenec";"Bzenec";"MSS";"POINT (17.3055 48.9816)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B1DREV01";17.586111;49.424444;238;"Drevohostice";"Drevohostice";"ASS";"POINT (17.586111 49.424444)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B1HLHO01";17.8033;49.155;348;"Horní Lhota";"Horní Lhota";"ASS";"POINT (17.8033 49.155)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B1HLUK01";17.538;48.9863;225;"Hluk";"Hluk";"ASS";"POINT (17.538 48.9863)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B1HODO01";17.104872;48.854292;172;"Hodonín";"Hodonín";"MSS";"POINT (17.104872 48.854292)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B1HOLE01";17.57;49.320556;222.25;"Holešov";"Holešov";"AMS1";"POINT (17.57 49.320556)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres"
"B1IVAN01";17.0894;49.3092;243;"Ivanovice na Hané";"Ivanovice na Hané";"AKS2";"POINT (17.0894 49.3092)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B1KLZI01";17.7925;49.0842;329;"Luhacovice";"Luhacovice, Kladná-Žilín";"AKS2";"POINT (17.7925 49.0842)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA
"B1KOJE01";17.2944;49.3527;203;"Kojetín";"Kojetín";"ASS";"POINT (17.2944 49.3527)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA
